




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21988)	Client Text Box Input (15)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
cell wall organization or biogenesis (GO:0071554)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
death-inducing signaling complex assembly (GO:0071550)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
asparagine biosynthetic process (GO:0006529)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
asparagine metabolic process (GO:0006528)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
arginine catabolic process (GO:0006527)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
arginine biosynthetic process (GO:0006526)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
lysophospholipid transport (GO:0051977)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
arginine metabolic process (GO:0006525)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
alanine catabolic process (GO:0006524)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of telomerase activity (GO:0051974)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
alanine metabolic process (GO:0006522)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of telomerase activity (GO:0051973)	33	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of cellular amino acid metabolic process (GO:0006521)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of telomerase activity (GO:0051972)	48	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular amino acid metabolic process (GO:0006520)	233	0	.16	-	 < 0.01	1.00E00	1.00E00
positive regulation of transmission of nerve impulse (GO:0051971)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of transmission of nerve impulse (GO:0051970)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to dexamethasone stimulus (GO:0071549)	24	0	.02	-	 < 0.01	1.00E00	1.00E00
response to dexamethasone (GO:0071548)	27	0	.02	-	 < 0.01	1.00E00	1.00E00
inositol phosphate catabolic process (GO:0071545)	19	0	.01	-	 < 0.01	1.00E00	1.00E00
diphosphoinositol polyphosphate catabolic process (GO:0071544)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
diphosphoinositol polyphosphate metabolic process (GO:0071543)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
dopaminergic neuron differentiation (GO:0071542)	35	0	.02	-	 < 0.01	1.00E00	1.00E00
peptide metabolic process (GO:0006518)	453	0	.31	-	 < 0.01	1.00E00	1.00E00
regulation of transmission of nerve impulse (GO:0051969)	23	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to chemokine (GO:1990869)	65	0	.04	-	 < 0.01	1.00E00	1.00E00
protein deglycosylation (GO:0006517)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of synaptic transmission, glutamatergic (GO:0051968)	37	0	.03	-	 < 0.01	1.00E00	1.00E00
response to chemokine (GO:1990868)	65	0	.04	-	 < 0.01	1.00E00	1.00E00
glycoprotein catabolic process (GO:0006516)	23	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of synaptic transmission, glutamatergic (GO:0051967)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
protein quality control for misfolded or incompletely synthesized proteins (GO:0006515)	29	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of synaptic transmission, glutamatergic (GO:0051966)	78	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of synapse assembly (GO:0051965)	80	0	.05	-	 < 0.01	1.00E00	1.00E00
protein monoubiquitination (GO:0006513)	65	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of synapse assembly (GO:0051964)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of synapse assembly (GO:0051963)	121	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of nervous system development (GO:0051962)	346	0	.24	-	 < 0.01	1.00E00	1.00E00
desmosome assembly (GO:0002159)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of nervous system development (GO:0051961)	165	0	.11	-	 < 0.01	1.00E00	1.00E00
osteoclast proliferation (GO:0002158)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of nervous system development (GO:0051960)	536	0	.37	-	 < 0.01	1.00E00	1.00E00
regulation of thyroid hormone mediated signaling pathway (GO:0002155)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
thyroid hormone mediated signaling pathway (GO:0002154)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
bile acid conjugation (GO:0002152)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
otolith mineralization (GO:0045299)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
protein localization to centrosome (GO:0071539)	25	0	.02	-	 < 0.01	1.00E00	1.00E00
mRNA cis splicing, via spliceosome (GO:0045292)	17	0	.01	-	 < 0.01	1.00E00	1.00E00
membrane protein ectodomain proteolysis (GO:0006509)	23	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of relaxation of cardiac muscle (GO:1901899)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of relaxation of cardiac muscle (GO:1901898)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to endothelin (GO:1990859)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
GPI anchor release (GO:0006507)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
methotrexate transport (GO:0051958)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of relaxation of cardiac muscle (GO:1901897)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to lectin (GO:1990858)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
GPI anchor biosynthetic process (GO:0006506)	32	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of amino acid transport (GO:0051957)	30	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of ATPase-coupled calcium transmembrane transporter activity (GO:1901896)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
GPI anchor metabolic process (GO:0006505)	33	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of amino acid transport (GO:0051956)	21	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of ATPase-coupled calcium transmembrane transporter activity (GO:1901895)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of amino acid transport (GO:0051955)	54	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of ATPase-coupled calcium transmembrane transporter activity (GO:1901894)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of amine transport (GO:0051954)	52	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of amine transport (GO:0051953)	38	0	.03	-	 < 0.01	1.00E00	1.00E00
C-terminal protein lipidation (GO:0006501)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of amine transport (GO:0051952)	117	0	.08	-	 < 0.01	1.00E00	1.00E00
hypochlorous acid biosynthetic process (GO:0002149)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
N-terminal protein palmitoylation (GO:0006500)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of glutamate uptake involved in transmission of nerve impulse (GO:0051951)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell junction assembly (GO:1901890)	123	0	.08	-	 < 0.01	1.00E00	1.00E00
hypochlorous acid metabolic process (GO:0002148)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA wobble position uridine thiolation (GO:0002143)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
cementum mineralization (GO:0071529)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA re-export from nucleus (GO:0071528)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
semaphorin-plexin signaling pathway (GO:0071526)	38	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell junction assembly (GO:1901889)	31	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of cell junction assembly (GO:1901888)	220	0	.15	-	 < 0.01	1.00E00	1.00E00
regulation of glutamate uptake involved in transmission of nerve impulse (GO:0051946)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of catecholamine uptake involved in synaptic transmission (GO:0051945)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
adaptive thermogenesis (GO:1990845)	24	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of catecholamine uptake involved in synaptic transmission (GO:0051944)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of amino acid uptake involved in synaptic transmission (GO:0051943)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein depolymerization (GO:1901881)	18	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of amino acid uptake involved in synaptic transmission (GO:0051941)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein depolymerization (GO:1901880)	75	0	.05	-	 < 0.01	1.00E00	1.00E00
retinoic acid biosynthetic process (GO:0002138)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of catecholamine uptake involved in synaptic transmission (GO:0051940)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
response to lectin (GO:1990840)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
maintenance of imprinting at mating-type locus (GO:0071517)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
establishment of imprinting at mating-type locus (GO:0071516)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
genetic imprinting at mating-type locus (GO:0071515)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of protein depolymerization (GO:1901879)	95	0	.06	-	 < 0.01	1.00E00	1.00E00
gamma-aminobutyric acid import (GO:0051939)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
response to endothelin (GO:1990839)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
L-glutamate import (GO:0051938)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of calcium ion binding (GO:1901877)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
catecholamine transport (GO:0051937)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of calcium ion binding (GO:1901876)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
glutamate reuptake (GO:0051935)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of post-translational protein modification (GO:1901874)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
catecholamine uptake involved in synaptic transmission (GO:0051934)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of post-translational protein modification (GO:1901873)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
response to odorant (GO:1990834)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
amino acid neurotransmitter reuptake (GO:0051933)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
synaptic transmission, GABAergic (GO:0051932)	20	0	.01	-	 < 0.01	1.00E00	1.00E00
slow axonal transport (GO:1990832)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of sensory perception (GO:0051931)	58	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of sensory perception of pain (GO:0051930)	57	0	.04	-	 < 0.01	1.00E00	1.00E00
cellular response to leukemia inhibitory factor (GO:1990830)	128	0	.09	-	 < 0.01	1.00E00	1.00E00
tRNA wobble base cytosine methylation (GO:0002127)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
maternal aggressive behavior (GO:0002125)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
territorial aggressive behavior (GO:0002124)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
inter-male aggressive behavior (GO:0002121)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to mycophenolic acid (GO:0071506)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
response to mycophenolic acid (GO:0071505)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to heparin (GO:0071504)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
secretion of lysosomal enzymes (GO:0033299)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
response to heparin (GO:0071503)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to temperature stimulus (GO:0071502)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to sterol depletion (GO:0071501)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to nitrosative stress (GO:0071500)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of calcium ion transport (GO:0051928)	140	0	.10	-	 < 0.01	1.00E00	1.00E00
T-tubule organization (GO:0033292)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of calcium ion transport (GO:0051926)	65	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of calcium ion transport (GO:0051924)	281	0	.19	-	 < 0.01	1.00E00	1.00E00
positive regulation of muscle tissue development (GO:1901863)	28	0	.02	-	 < 0.01	1.00E00	1.00E00
sulfation (GO:0051923)	31	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of muscle tissue development (GO:1901862)	20	0	.01	-	 < 0.01	1.00E00	1.00E00
response to leukemia inhibitory factor (GO:1990823)	129	0	.09	-	 < 0.01	1.00E00	1.00E00
regulation of muscle tissue development (GO:1901861)	55	0	.04	-	 < 0.01	1.00E00	1.00E00
basic amino acid transmembrane transport (GO:1990822)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of mitochondrial DNA metabolic process (GO:1901860)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
aggressive behavior (GO:0002118)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
store-operated calcium entry (GO:0002115)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of mitochondrial DNA metabolic process (GO:1901859)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of fibrinolysis (GO:0051919)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of mitochondrial DNA metabolic process (GO:1901858)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of fibrinolysis (GO:0051918)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of cellular respiration (GO:1901857)	18	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of fibrinolysis (GO:0051917)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cellular respiration (GO:1901856)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
response to vitamin D (GO:0033280)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA wobble cytosine modification (GO:0002101)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA wobble adenosine to inosine editing (GO:0002100)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cell proliferation in midbrain (GO:0033278)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
abortive mitotic cell cycle (GO:0033277)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
actin-myosin filament sliding (GO:0033275)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum tubular network membrane organization (GO:1990809)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
response to vitamin (GO:0033273)	24	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell communication by electrical coupling involved in cardiac conduction (GO:1901845)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
establishment of pigment granule localization (GO:0051905)	18	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cell communication by electrical coupling involved in cardiac conduction (GO:1901844)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
pigment granule transport (GO:0051904)	17	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of high voltage-gated calcium channel activity (GO:1901843)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of high voltage-gated calcium channel activity (GO:1901842)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of mitochondrial depolarization (GO:0051902)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of high voltage-gated calcium channel activity (GO:1901841)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of mitochondrial depolarization (GO:0051901)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of mitochondrial depolarization (GO:0051900)	21	0	.01	-	 < 0.01	1.00E00	1.00E00
protein palmitoleylation (GO:0045234)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA localization to nucleus (GO:0090685)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription of nucleolar large rRNA by RNA polymerase I (GO:1901838)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of transcription of nucleolar large rRNA by RNA polymerase I (GO:1901837)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of nuclear cell cycle DNA replication (GO:0033262)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of transcription of nucleolar large rRNA by RNA polymerase I (GO:1901836)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of deadenylation-independent decapping of nuclear-transcribed mRNA (GO:1901835)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nuclear DNA replication (GO:0033260)	24	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of deadenylation-independent decapping of nuclear-transcribed mRNA (GO:1901834)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
external encapsulating structure organization (GO:0045229)	270	0	.18	-	 < 0.01	1.00E00	1.00E00
extracellular polysaccharide biosynthetic process (GO:0045226)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of CD4 production (GO:0045225)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
calcium ion transmembrane transport via low voltage-gated calcium channel (GO:0090676)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
intermicrovillar adhesion (GO:0090675)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of CD4 production (GO:0045223)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
endothelial cell-matrix adhesion (GO:0090673)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of FasL production (GO:0045221)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
telomerase RNA localization (GO:0090672)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
telomerase RNA localization to Cajal body (GO:0090671)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA localization to Cajal body (GO:0090670)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
zeaxanthin biosynthetic process (GO:1901827)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
zeaxanthin metabolic process (GO:1901825)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of FasL production (GO:0045219)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
zonula adherens maintenance (GO:0045218)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
telomerase RNA stabilization (GO:0090669)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
cell-cell junction maintenance (GO:0045217)	20	0	.01	-	 < 0.01	1.00E00	1.00E00
endothelial cell chemotaxis to vascular endothelial growth factor (GO:0090668)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cell-cell junction organization (GO:0045216)	178	0	.12	-	 < 0.01	1.00E00	1.00E00
cell chemotaxis to vascular endothelial growth factor (GO:0090667)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
scaRNA localization to Cajal body (GO:0090666)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
sarcomere organization (GO:0045214)	40	0	.03	-	 < 0.01	1.00E00	1.00E00
neurotransmitter receptor metabolic process (GO:0045213)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
galanin-activated signaling pathway (GO:0090663)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
FasL biosynthetic process (GO:0045210)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cerebrospinal fluid circulation (GO:0090660)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cellular amine catabolic process (GO:0033242)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of cellular amine catabolic process (GO:0033241)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of cellular amine metabolic process (GO:0033240)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
beta-carotene metabolic process (GO:1901810)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
gastrin-induced gastric acid secretion (GO:0001698)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
walking behavior (GO:0090659)	48	0	.03	-	 < 0.01	1.00E00	1.00E00
histamine-induced gastric acid secretion (GO:0001697)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
gastric acid secretion (GO:0001696)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
telomeric loop disassembly (GO:0090657)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
histamine catabolic process (GO:0001695)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
t-circle formation (GO:0090656)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
histamine biosynthetic process (GO:0001694)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
MAPK export from nucleus (GO:0045204)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histamine metabolic process (GO:0001692)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
establishment of neuroblast polarity (GO:0045200)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of cellular amine metabolic process (GO:0033239)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to oxygen-glucose deprivation (GO:0090650)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of cellular amine metabolic process (GO:0033238)	37	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein sumoylation (GO:0033235)	16	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein sumoylation (GO:0033234)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of protein sumoylation (GO:0033233)	27	0	.02	-	 < 0.01	1.00E00	1.00E00
carbohydrate export (GO:0033231)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
beta-glucoside catabolic process (GO:1901805)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
beta-glucoside metabolic process (GO:1901804)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of proteasomal protein catabolic process (GO:1901800)	108	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of mitotic spindle assembly checkpoint signaling (GO:0140499)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
response to oxygen-glucose deprivation (GO:0090649)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
response to environmental enrichment (GO:0090648)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
modulation of age-related behavioral decline (GO:0090647)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
very long-chain fatty acid beta-oxidation (GO:0140493)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mitochondrial tRNA processing (GO:0090646)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA 5'-leader removal (GO:0001682)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA 3'-terminal CCA addition (GO:0001680)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
dsRNA transport (GO:0033227)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular glucose homeostasis (GO:0001678)	79	0	.05	-	 < 0.01	1.00E00	1.00E00
long-chain fatty acid metabolic process (GO:0001676)	114	0	.08	-	 < 0.01	1.00E00	1.00E00
acrosome assembly (GO:0001675)	19	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of chromatin assembly or disassembly (GO:0001672)	25	0	.02	-	 < 0.01	1.00E00	1.00E00
activation of GTPase activity (GO:0090630)	99	0	.07	-	 < 0.01	1.00E00	1.00E00
iron import into cell (GO:0033212)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
adiponectin-activated signaling pathway (GO:0033211)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
leptin-mediated signaling pathway (GO:0033210)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
ameboidal-type cell migration (GO:0001667)	191	0	.13	-	 < 0.01	1.00E00	1.00E00
response to hypoxia (GO:0001666)	194	0	.13	-	 < 0.01	1.00E00	1.00E00
